image title,MATLAB blobject name,manual blobject name,bialent quality?,manual.SC.length,blobjectClass,bad position,automatic foci position,manual.foci 1 position,,medial foci position,manual.distal foci position,4th foci position,manual.IFD,IFD2,notes
2aug15_8jun15_G_f4_sp1_7_rev,2,blob1,,91.902,1CO,,,68.277,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,15,blob2,,96.188,1CO,,,55.483,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,7,blob3,,87.134,1CO,,,22.3,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,8,blob4,,62.49,1CO,,,47.058,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,1,blob5,,105.966,1CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,13,blob6,,78.562,1CO,,,51.543,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,14,blob7,,128.067,1CO,,,121.89,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,17,blob8,,181.169,2CO,,,28.187,,,165.637,,137.45,,
2aug15_8jun15_G_f4_sp1_7_rev,18,blob9,,116.713,1CO,,,87.701,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,16,blob10,,179.5,1CO,,,100.245,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,21,blob11,,103.975,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,9,blob12,,156.266,2CO,,,9.083,,,132.427,,123.344,,
2aug15_8jun15_G_f4_sp1_7_rev,10,blob13,,80.924,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,12,blob14,,76.415,2CO,,,16.233,,,57.398,,,,repeated measure
2aug15_8jun15_G_f4_sp1_7_rev,11,blob15,,133.364,2CO,,,27.042,,,102.091,,75.049,,
2aug15_8jun15_G_f4_sp1_7_rev,5,blob16,,103.295,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,3,blob17,,107.61,2CO,,,5.886,,,101.467,,95.581,,
2aug15_8jun15_G_f4_sp1_7_rev,6,blob18,,82.175,1CO,,,28.209,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,20,blob19,,137.405,3CO,,,17.889,,81.21,120.097,,63.321,38.887,
2aug15_8jun15_G_f4_sp1_7_rev,19,blob20,,109.482,1CO,,,100.865,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,7,blob1,1,103.098,2CO,,,16.643,,,84.674,,68.031,,
30mar15_13oct14_G_f1_sp1_1.1_rev,10,blob2,1,82.893,1CO,,,67.385,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,1,blob3,1,95.769,2CO,,,42.332,,,80.605,,38.273,,
30mar15_13oct14_G_f1_sp1_1.1_rev,5,blob4,1,94.439,1CO,,,43.999,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,18,blob5,1,86.637,2CO,,,15.285,,,65.725,,50.44,,
30mar15_13oct14_G_f1_sp1_1.1_rev,19,blob6,1,94.025,1CO,,,52.955,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,2,blob7,1,80.822,1CO,,,29.454,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,20,blob8,3,74.449,0CO,,,,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,21,blob9,1,101.269,2CO,,,36.617,,,97.31,,60.693,,
30mar15_13oct14_G_f1_sp1_1.1_rev,13,blob10,1,88.28,1CO,,,60.864,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,14,blob11,1,69.23,1CO,,,16.61,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,16,blob12,1,60.546,1CO,,,29.329,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,17,blob13,,121.686,2CO,,,29.554,,,76.871,,47.317,,
30mar15_13oct14_G_f1_sp1_1.1_rev,8,blob14,1,84.41,1CO,,,71.416,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,12,blob15,,94.518,1CO,,,41.613,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,15,blob16,2,70.586,1CO,,,46.567,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,3,blob17,,101.622,2CO,,,24.95,,,91.659,,66.709,,
30mar15_13oct14_G_f1_sp1_1.1_rev,6,blob18,1,69.662,1CO,,,11.468,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,9,blob19,1,124.678,2CO,,,48.583,,,102.374,,53.791,,
30mar15_13oct14_G_f1_sp1_1.1_rev,11,blob20,1,107.422,1CO,,,55.464,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,3,blob1,,71.846,1CO,,,46.631,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,7,blob2,,88.184,0CO,,,,,,,,,,maybe 1CO
4dec14_8oct14_PWD_f1_sp1_12_rev,19,blob3,,104.076,2CO,,,20.772,,,64.617,,43.845,,
4dec14_8oct14_PWD_f1_sp1_12_rev,14,blob4,,117.68,2CO,,,30.67,,,88.346,,57.676,,
4dec14_8oct14_PWD_f1_sp1_12_rev,16,blob5,,105.845,1CO,,,72.904,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,18,blob6,,94.565,2CO,,,20.856,,,82.272,,61.416,,
4dec14_8oct14_PWD_f1_sp1_12_rev,1,blob7,,93.896,1CO,,,30.56,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,5,blob8,,95.796,2CO,,,55.874,,,81.083,,25.209,,
4dec14_8oct14_PWD_f1_sp1_12_rev,9,blob9,,70.151,1CO,,,39.905,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,11,blob10,,101,2CO,,,29.939,,,90.376,,60.437,,
4dec14_8oct14_PWD_f1_sp1_12_rev,20,blob11,,104.74,1CO,,,65.333,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,21,blob12,,131.834,1CO,,,111.221,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,2,blob13,,78.02,1CO,,,58.774,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,4,blob14,,82.183,1CO,,,58.686,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,8,blob15,,57.21,1CO,,,33.078,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,10,blob16,,94.144,1CO,,,65.988,,,,,,,Maybe 2CO
4dec14_8oct14_PWD_f1_sp1_12_rev,13,blob17,,94.848,1CO,,,49.422,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,12,blob18,,125.543,1CO,,,61.236,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,15,blob19,,118.13,2CO,,,15.752,,,82.866,,67.114,,very faint foci
4dec14_8oct14_PWD_f1_sp1_12_rev,17,blob20,,87.517,1CO,,,49.351,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,3,blob1,2,97.537,2CO,,,20.285,,,54.075,,33.79,,
4dec14_8oct14_PWD_f1_sp1_16_rev,5,blob2,1,92.301,1CO,,,36.07,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,6,blob3,5,90.15,1CO,,,26.32,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,14,blob4,4,100.655,1CO,,,45.1,,,,,,,maybe faint extra foci
4dec14_8oct14_PWD_f1_sp1_16_rev,23,blob5,3,87.824,2CO,,,27.567,,,72.893,,45.326,,
4dec14_8oct14_PWD_f1_sp1_16_rev,22,blob6,4,111.09,2CO,,,15.133,,,83.583,,68.45,,
4dec14_8oct14_PWD_f1_sp1_16_rev,8,blob7,2,111.326,2CO,,,35.484,,,63.007,,27.523,,
4dec14_8oct14_PWD_f1_sp1_16_rev,15,blob8,3,94.917,2CO,,,26.201,,,64.174,,37.973,,
4dec14_8oct14_PWD_f1_sp1_16_rev,17,blob9,1,81.042,2CO,,,22.596,,,58.633,,36.037,,
4dec14_8oct14_PWD_f1_sp1_16_rev,20,blob10,2,87.599,1CO,,,77.26,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,21,blob11,1,58.829,1CO,,,31.316,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,1,blob12,2,95.733,1CO,,,64.382,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,4,blob13,4,85.783,1CO,,,60.309,,,,,,,"SC slightly broken. ml IDs(4,2)"
4dec14_8oct14_PWD_f1_sp1_16_rev,7,blob14,3,78.63,1CO,,,59.998,,,,,,,shadow at the end
4dec14_8oct14_PWD_f1_sp1_16_rev,13,blob15,2,78.789,1CO,,,46.628,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,18,blob16,4,84.994,1CO,,,48.348,,,,,,,maybe faint CO (2CO)
4dec14_8oct14_PWD_f1_sp1_16_rev,19,blob17,2,49.065,1CO,,,40.685,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,10,blob18,4,79.594,1CO,,,58.589,,,,,,,"SC signal is faint ml IDs (10,11)"
4dec14_8oct14_PWD_f1_sp1_16_rev,12,blob19,2,91.422,1CO,,,54.117,,,,,,,
4dec14_8oct14_PWD_f1_sp1_16_rev,16,blob20,3,47.563,1CO,,,49.306,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,7,blob1,1,50.758,1CO,,,39.558,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,3,blob2,1,67.714,1CO,,,61.64,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,12,blob3,1,76.398,1CO,,,67.393,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,5,blob4,1,80.667,2CO,,,28.702,,,75.509,,46.807,,
27jul15_22jun15_G_m2_sp1_8_rev,18,blob5,1,102.103,2CO,,,37.888,,,95.25,,57.362,,"overlapping chrm, might be 3CO?"
27jul15_22jun15_G_m2_sp1_8_rev,19,blob6,2,45.831,1CO,,,40.855,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,20,blob7,1,80.368,1CO,,,56.829,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,16,blob8,1,55.14,1CO,,,26.509,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,14,blob9,1,69.648,1CO,,,21.807,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,2,blob10,1,103.57,2CO,,,13.071,,,77.996,,64.925,,
27jul15_22jun15_G_m2_sp1_8_rev,9,blob11,1,69.069,1CO,,,44.078,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,10,blob12,2,92.5,1CO,,,86.429,,,,,,,fuzzy foci
27jul15_22jun15_G_m2_sp1_8_rev,13,blob13,1,85.298,1CO,,,78.355,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,17,blob14,1,69.488,1CO,,,59.322,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,1,blob15,1,65.721,1CO,,,33.647,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,4,blob16,1,80.957,1CO,,,21.668,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,6,blob17,1,80.576,1CO,,,50.57,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,8,blob18,1,86.044,1CO,,,62.701,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,11,blob19,1,91.576,1CO,,,56.532,,,,,,,
27jul15_22jun15_G_m2_sp1_8_rev,15,blob20,1,109.185,XY,,,,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,11,blob1,1,69.085,1CO,,,47.097,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,14,blob2,1,56.251,1CO,,,41.182,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,15,blob3,1,48.428,1CO,,,22.088,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,2,blob4,1,70.424,1CO,,,43.527,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,1,blob5,1,94.82,1CO,,,24.688,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,4,blob6,1,78.718,1CO,,,31.491,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,5,blob7,1,79.323,1CO,,,47.686,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,7,blob8,1,105.65,2CO,,,35.934,,,78.734,,42.8,,
28jul15_22jun15_G_m2_sp1_4_rev,9,blob9,1,66.342,1CO,,,44.822,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,19,blob10,1,76.588,2CO,,,16.246,,,63.741,,47.495,,
28jul15_22jun15_G_m2_sp1_4_rev,20,blob11,1,92.367,2CO,,,35.734,,,88.195,,52.461,,
28jul15_22jun15_G_m2_sp1_4_rev,3,blob12,1,98.622,1CO,,,71.853,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,17,blob13,1,88.481,2CO,,,22.889,,,71.567,,48.678,,matching blobject not for sure
28jul15_22jun15_G_m2_sp1_4_rev,18,blob14,1,65.935,1CO,,,38.935,,,,,,,matching blobject not for sure
28jul15_22jun15_G_m2_sp1_4_rev,6,blob15,1,63.169,1CO,,,49.748,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,10,blob16,1,51.528,1CO,,,25.566,,,,,,,
28jul15_22jun15_G_m2_sp1_4_rev,12,blob17,1,105.986,2CO,,,47.558,,,100.184,,52.626,,
28jul15_22jun15_G_m2_sp1_4_rev,13,blob18,1,78.658,2CO,,,8.123,,,74.44,,66.317,,
28jul15_22jun15_G_m2_sp1_4_rev,16,blob19,1,76.2,2CO,,,29.031,,,70.108,,41.077,,
28jul15_22jun15_G_m2_sp1_4_rev,8,blob20,1,144.428,XY,,,,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,2,blob1,,101.276,1CO,,,50.395,,,,,,,maybe 2CO
28jul15_22jun15_G_m2_sp1_19_rev,4,blob2,,52.281,1CO,,,39.546,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,7,blob3,,79.545,1CO,,,59.149,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,10,blob4,,112.552,2CO,,,37.706,,,97.353,,59.647,,
28jul15_22jun15_G_m2_sp1_19_rev,17,blob5,,91.692,2CO,,,40.685,,,87.583,,46.898,,
28jul15_22jun15_G_m2_sp1_19_rev,18,blob6,,98.953,1CO,,,80.813,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,1,blob7,,101.418,1CO,,,53.989,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,3,blob8,,88.969,2CO,,,18.53,,,86.386,,67.856,,
28jul15_22jun15_G_m2_sp1_19_rev,6,blob9,,75.456,1CO,,,59.54,,,,,,,maybe 2CO
28jul15_22jun15_G_m2_sp1_19_rev,8,blob10,,98.087,1CO,,,37.18,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,11,blob11,,64.859,1CO,,,18.547,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,13,blob12,,107.759,2CO,,,12.162,,,92.596,,80.434,,
28jul15_22jun15_G_m2_sp1_19_rev,19,blob13,,54.483,1CO,,,23.426,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,20,blob14,,87.81,1CO,,,42.516,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,21,blob15,,55.605,1CO,,,44.727,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,5,blob16,,69.446,1CO,,,36.502,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,9,blob17,,74.762,1CO,,,58.879,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,12,blob18,,86.495,2CO,,,8.485,,,55.41,,46.925,,
28jul15_22jun15_G_m2_sp1_19_rev,16,blob19,,68.829,1CO,,,59.654,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,15,blob20,,167.12,XY,,,,,,,,,,"unpaired, two ids (15,14)"
